,Jetson_1,Jetson_2,Jetson_3,Jetson_4,Jetson_5,Jetson_6,Jetson_7,Jetson_8,Jetson_9,Jetson_10,Jetson_11,Jetson_12,Jetson_13,Jetson_14,Jetson_15,Jetson_16,A6000,Blackwell
Jetson_1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_2,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_3,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_4,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_5,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_6,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,30,20
Jetson_7,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,30,20
Jetson_8,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,30,20
Jetson_9,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,30,20
Jetson_10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,30,20
Jetson_11,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,30,20
Jetson_12,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,30,20
Jetson_13,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,30,20
Jetson_14,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,30,20
Jetson_15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,30,20
Jetson_16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,30,20
A6000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,25
Blackwell,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,0
