,R1_VIT1,R1_VIT2,R1_LLM1,R1_LLM2,R2_VIT1,R2_VIT2,R2_LLM1,R2_LLM2,R3_VIT1,R3_VIT2,R3_LLM1,R3_LLM2,R4_VIT1,R4_VIT2,R4_LLM1,R4_LLM2
R1_VIT1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R1_VIT2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R1_LLM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1_LLM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2_VIT1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R2_VIT2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R2_LLM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2_LLM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3_VIT1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R3_VIT2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
R3_LLM1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R3_LLM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4_VIT1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R4_VIT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R4_LLM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4_LLM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
