,Deadline,ET on A,ET on B,ET on C,Input Size,Output Size,Source,Destination
R1_VIT1,400,112.3,40.7,49.2,2340,2340,0,0
R1_VIT2,400,112.3,40.7,49.2,2340,2340,0,0
R1_LLM1,600,4688.8,489.8,590.0,2340,2,0,0
R1_LLM2,600,4688.8,489.8,590.0,2340,2,0,0
R2_VIT1,400,112.3,40.7,49.2,2340,2340,1,0
R2_VIT2,400,112.3,40.7,49.2,2340,2340,1,0
R2_LLM1,600,4688.8,489.8,590.0,2340,2,1,0
R2_LLM2,600,4688.8,489.8,590.0,2340,2,1,0
R3_VIT1,400,112.3,40.7,49.2,2340,2340,2,0
R3_VIT2,400,112.3,40.7,49.2,2340,2340,2,0
R3_LLM1,600,4688.8,489.8,590.0,2340,2,2,0
R3_LLM2,600,4688.8,489.8,590.0,2340,2,2,0
R4_VIT1,400,112.3,40.7,49.2,2340,2340,3,0
R4_VIT2,400,112.3,40.7,49.2,2340,2340,3,0
R4_LLM1,600,4688.8,489.8,590.0,2340,2,3,0
R4_LLM2,600,4688.8,489.8,590.0,2340,2,3,0
R5_VIT1,400,112.3,40.7,49.2,2340,2340,4,0
R5_VIT2,400,112.3,40.7,49.2,2340,2340,4,0
R5_LLM1,600,4688.8,489.8,590.0,2340,2,4,0
R5_LLM2,600,4688.8,489.8,590.0,2340,2,4,0
R6_VIT1,400,112.3,40.7,49.2,2340,2340,5,0
R6_VIT2,400,112.3,40.7,49.2,2340,2340,5,0
R6_LLM1,600,4688.8,489.8,590.0,2340,2,5,0
R6_LLM2,600,4688.8,489.8,590.0,2340,2,5,0
R7_VIT1,400,112.3,40.7,49.2,2340,2340,6,0
R7_VIT2,400,112.3,40.7,49.2,2340,2340,6,0
R7_LLM1,600,4688.8,489.8,590.0,2340,2,6,0
R7_LLM2,600,4688.8,489.8,590.0,2340,2,6,0
R8_VIT1,400,112.3,40.7,49.2,2340,2340,7,0
R8_VIT2,400,112.3,40.7,49.2,2340,2340,7,0
R8_LLM1,600,4688.8,489.8,590.0,2340,2,7,0
R8_LLM2,600,4688.8,489.8,590.0,2340,2,7,0
R9_VIT1,400,112.3,40.7,49.2,2340,2340,8,0
R9_VIT2,400,112.3,40.7,49.2,2340,2340,8,0
R9_LLM1,600,4688.8,489.8,590.0,2340,2,8,0
R9_LLM2,600,4688.8,489.8,590.0,2340,2,8,0
R10_VIT1,400,112.3,40.7,49.2,2340,2340,9,0
R10_VIT2,400,112.3,40.7,49.2,2340,2340,9,0
R10_LLM1,600,4688.8,489.8,590.0,2340,2,9,0
R10_LLM2,600,4688.8,489.8,590.0,2340,2,9,0
R11_VIT1,400,112.3,40.7,49.2,2340,2340,10,0
R11_VIT2,400,112.3,40.7,49.2,2340,2340,10,0
R11_LLM1,600,4688.8,489.8,590.0,2340,2,10,0
R11_LLM2,600,4688.8,489.8,590.0,2340,2,10,0
R12_VIT1,400,112.3,40.7,49.2,2340,2340,11,0
R12_VIT2,400,112.3,40.7,49.2,2340,2340,11,0
R12_LLM1,600,4688.8,489.8,590.0,2340,2,11,0
R12_LLM2,600,4688.8,489.8,590.0,2340,2,11,0
R13_VIT1,400,112.3,40.7,49.2,2340,2340,12,0
R13_VIT2,400,112.3,40.7,49.2,2340,2340,12,0
R13_LLM1,600,4688.8,489.8,590.0,2340,2,12,0
R13_LLM2,600,4688.8,489.8,590.0,2340,2,12,0
R14_VIT1,400,112.3,40.7,49.2,2340,2340,13,0
R14_VIT2,400,112.3,40.7,49.2,2340,2340,13,0
R14_LLM1,600,4688.8,489.8,590.0,2340,2,13,0
R14_LLM2,600,4688.8,489.8,590.0,2340,2,13,0
R15_VIT1,400,112.3,40.7,49.2,2340,2340,14,0
R15_VIT2,400,112.3,40.7,49.2,2340,2340,14,0
R15_LLM1,600,4688.8,489.8,590.0,2340,2,14,0
R15_LLM2,600,4688.8,489.8,590.0,2340,2,14,0
R16_VIT1,400,112.3,40.7,49.2,2340,2340,15,0
R16_VIT2,400,112.3,40.7,49.2,2340,2340,15,0
R16_LLM1,600,4688.8,489.8,590.0,2340,2,15,0
R16_LLM2,600,4688.8,489.8,590.0,2340,2,15,0
R17_VIT1,400,112.3,40.7,49.2,2340,2340,16,0
R17_VIT2,400,112.3,40.7,49.2,2340,2340,16,0
R17_LLM1,600,4688.8,489.8,590.0,2340,2,16,0
R17_LLM2,600,4688.8,489.8,590.0,2340,2,16,0
R18_VIT1,400,112.3,40.7,49.2,2340,2340,17,0
R18_VIT2,400,112.3,40.7,49.2,2340,2340,17,0
R18_LLM1,600,4688.8,489.8,590.0,2340,2,17,0
R18_LLM2,600,4688.8,489.8,590.0,2340,2,17,0
R19_VIT1,400,112.3,40.7,49.2,2340,2340,18,0
R19_VIT2,400,112.3,40.7,49.2,2340,2340,18,0
R19_LLM1,600,4688.8,489.8,590.0,2340,2,18,0
R19_LLM2,600,4688.8,489.8,590.0,2340,2,18,0
R20_VIT1,400,112.3,40.7,49.2,2340,2340,19,0
R20_VIT2,400,112.3,40.7,49.2,2340,2340,19,0
R20_LLM1,600,4688.8,489.8,590.0,2340,2,19,0
R20_LLM2,600,4688.8,489.8,590.0,2340,2,19,0
R21_VIT1,400,112.3,40.7,49.2,2340,2340,20,0
R21_VIT2,400,112.3,40.7,49.2,2340,2340,20,0
R21_LLM1,600,4688.8,489.8,590.0,2340,2,20,0
R21_LLM2,600,4688.8,489.8,590.0,2340,2,20,0
R22_VIT1,400,112.3,40.7,49.2,2340,2340,21,0
R22_VIT2,400,112.3,40.7,49.2,2340,2340,21,0
R22_LLM1,600,4688.8,489.8,590.0,2340,2,21,0
R22_LLM2,600,4688.8,489.8,590.0,2340,2,21,0
R23_VIT1,400,112.3,40.7,49.2,2340,2340,22,0
R23_VIT2,400,112.3,40.7,49.2,2340,2340,22,0
R23_LLM1,600,4688.8,489.8,590.0,2340,2,22,0
R23_LLM2,600,4688.8,489.8,590.0,2340,2,22,0
