Overall Metrics
total_tasks: 16
first_start_ms: 0.000
last_finish_ms: 5071.000
makespan_ms: 5071.000
deadline_miss_count: 8
deadline_miss_rate: 0.500000
max_tardiness_ms: 4471.000
average_tardiness_ms: 821.688

Per-Task Results
task_name,device_name,start_ms,end_ms,deadline_ms,deadline_status,tardiness_ms
R1_VIT1,Jetson_1,0.000,112.000,400.000,OK,0.000
R2_VIT2,Jetson_2,0.000,112.000,400.000,OK,0.000
R3_VIT1,Jetson_3,0.000,112.000,400.000,OK,0.000
R4_VIT1,Jetson_4,0.000,112.000,400.000,OK,0.000
R1_VIT2,A6000,140.000,180.000,400.000,OK,0.000
R3_VIT2,Blackwell,149.000,198.000,400.000,OK,0.000
R2_VIT1,Jetson_4,112.000,224.000,400.000,OK,0.000
R4_VIT2,Blackwell,198.000,247.000,400.000,OK,0.000
R3_LLM1,A6000,287.000,776.000,600.000,MISSED,176.000
R3_LLM2,Blackwell,247.000,837.000,600.000,MISSED,237.000
R1_LLM1,A6000,776.000,1265.000,600.000,MISSED,665.000
R2_LLM1,Blackwell,837.000,1427.000,600.000,MISSED,827.000
R4_LLM2,A6000,1265.000,1754.000,600.000,MISSED,1154.000
R1_LLM2,Blackwell,1427.000,2017.000,600.000,MISSED,1417.000
R2_LLM2,Jetson_2,112.000,4800.000,600.000,MISSED,4200.000
R4_LLM1,Jetson_1,383.000,5071.000,600.000,MISSED,4471.000
